id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms
flea,1,795,2533,115135,1.21,2033,36,86096,91848,277496,fail=0;large=36,1.42,heic=0;jpg=0;mkv=6;mp4=24;png=0;txt=0;webm=6;webp=0;unknown=0,yes,-
nautilus,1,814,17006,176734,9.37,0,541,82952,166756,180104,fail=0;large=541,12.81,heic=13;jpg=0;mkv=0;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-
thunar,1,462,12774,41671,7.27,0,221,16172,36104,0,fail=0;large=0;normal=221,7.27,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-
pcmanfm,1,390,-1,41680,39.63,0,605,17152,29052,0,fail=0;large=0;normal=605,90.87,heic=0;jpg=0;mkv=0;mp4=400;png=105;txt=0;webm=100;webp=0;unknown=0,yes,-
nemo,1,757,3379,56448,2.15,0,60,29608,43692,0,fail=0;large=60,5.10,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-
dolphin,1,670,14514,101420,3.23,0,552,41812,76484,0,fail=0;large=0;normal=552,68.11,heic=0;jpg=50;mkv=84;mp4=335;png=0;txt=0;webm=83;webp=0;unknown=0,yes,-
strata,1,766,30801,70153,1.45,0,0,37332,64940,95712,fail=0;large=0,1.76,none=0,unranked: no thumbnails on a media run,-
yazi,1,276,2039,49259,0.30,0,n/a,32732,48976,0,fail=0;large=0,1.14,n/a,n/a: tui in kitty,758
mc,1,273,839,5559,0.04,0,n/a,3552,5152,0,fail=0;large=0,0.04,n/a,n/a: tui in kitty,-1
broot,1,275,457,4784,0.01,0,n/a,1328,4672,0,fail=0;large=0,0.01,n/a,n/a: tui in kitty,-1
nnn,1,292,501,2672,0.03,0,n/a,2056,2504,0,fail=0;large=0,0.03,n/a,n/a: tui in kitty,737
lf,1,255,1750,74967,1.07,0,n/a,72040,72660,0,fail=0;large=0,1.07,n/a,n/a: tui in kitty,746
ranger,1,273,995,28645,0.31,0,n/a,25864,26536,0,fail=0;large=0,0.32,n/a,n/a: tui in kitty,1123
xplr,1,293,620,13886,0.17,0,n/a,9164,13524,0,fail=0;large=0,0.17,n/a,n/a: tui in kitty,-1
superfile,1,295,1162,157152,0.43,0,n/a,142560,157040,0,fail=0;large=0,0.90,n/a,n/a: tui in kitty,-1
flea,2,833,2737,115477,1.27,2051,36,86380,92128,277496,fail=0;large=36,1.47,heic=0;jpg=0;mkv=6;mp4=24;png=0;txt=0;webm=6;webp=0;unknown=0,yes,-
nautilus,2,826,17093,177250,9.36,0,541,83564,167300,180104,fail=0;large=541,12.76,heic=13;jpg=0;mkv=0;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-
thunar,2,511,12785,43486,7.20,0,221,17984,37900,0,fail=0;large=0;normal=221,7.20,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-
pcmanfm,2,383,-1,41440,39.64,0,605,16920,28848,0,fail=0;large=0;normal=605,90.89,heic=0;jpg=0;mkv=0;mp4=400;png=105;txt=0;webm=100;webp=0;unknown=0,yes,-
nemo,2,777,2762,56664,2.14,0,60,29836,43904,0,fail=0;large=60,5.13,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-
dolphin,2,688,14434,103954,3.22,0,552,19512,77424,0,fail=0;large=0;normal=552,67.93,heic=0;jpg=50;mkv=84;mp4=335;png=0;txt=0;webm=83;webp=0;unknown=0,yes,-
strata,2,769,30780,70256,1.47,0,0,37536,65076,95712,fail=0;large=0,1.77,none=0,unranked: no thumbnails on a media run,-
yazi,2,274,1828,51361,0.30,0,n/a,34648,51104,0,fail=0;large=0,1.16,n/a,n/a: tui in kitty,753
mc,2,277,860,5559,0.04,0,n/a,3552,5144,0,fail=0;large=0,0.04,n/a,n/a: tui in kitty,-1
broot,2,275,460,4705,0.01,0,n/a,1324,4592,0,fail=0;large=0,0.01,n/a,n/a: tui in kitty,-1
nnn,2,275,597,2713,0.03,0,n/a,2060,2532,0,fail=0;large=0,0.03,n/a,n/a: tui in kitty,729
lf,2,257,1732,70771,1.06,0,n/a,67808,68476,0,fail=0;large=0,1.06,n/a,n/a: tui in kitty,733
ranger,2,274,1006,28642,0.31,0,n/a,25864,26540,0,fail=0;large=0,0.32,n/a,n/a: tui in kitty,1117
xplr,2,293,605,13764,0.18,0,n/a,9124,13400,0,fail=0;large=0,0.18,n/a,n/a: tui in kitty,-1
