id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms
flea,1,913,1398,109309,0.80,5388,n/a,80892,86660,148216,-,0.96,-,yes,-
nautilus,1,790,78685,342594,18.71,0,n/a,310132,332640,141564,-,18.71,-,yes,-
thunar,1,529,23084,356382,22.70,0,n/a,338024,344248,0,-,22.70,-,yes,-
pcmanfm,1,409,35242,113945,24.75,0,n/a,95452,101284,0,-,24.75,-,yes,-
nemo,1,740,22315,472307,25.53,0,n/a,451788,459716,0,-,25.53,-,yes,-
dolphin,1,830,5422,226564,9.02,0,n/a,146000,194996,0,-,9.02,-,yes,-
strata,1,793,7799,115745,7.51,0,n/a,83596,110692,95712,-,7.55,-,yes,-
yazi,1,277,2017,112950,2.89,0,n/a,98036,112692,0,-,2.89,-,yes,-
mc,1,272,2310,44841,0.90,0,n/a,43064,44576,0,-,0.90,-,yes,-
broot,1,278,466,4709,0.01,0,n/a,1328,4604,0,-,0.01,-,yes,-
nnn,1,280,1901,11019,0.80,0,n/a,10384,10844,0,-,0.80,-,yes,-
lf,1,277,2080,140308,2.19,0,n/a,137304,138020,0,-,2.19,-,yes,-
ranger,1,276,8694,638352,7.14,0,n/a,635688,636376,0,-,7.14,-,yes,-
xplr,1,295,3665,222279,2.43,0,n/a,217800,221928,0,-,2.43,-,yes,-
superfile,1,273,2042,96310,1.13,0,n/a,81712,96204,0,-,1.13,-,yes,-
flea,2,732,1152,110311,0.81,5357,n/a,81860,87456,148344,-,0.99,-,yes,-
nautilus,2,793,79053,342339,18.93,0,n/a,310048,332400,141564,-,18.93,-,yes,-
thunar,2,488,22700,356427,22.39,0,n/a,338096,344296,0,-,22.39,-,yes,-
pcmanfm,2,410,35785,114004,24.80,0,n/a,95432,101292,0,-,24.80,-,yes,-
nemo,2,726,22250,471922,25.34,0,n/a,451532,459316,0,-,25.34,-,yes,-
dolphin,2,674,5339,213290,9.03,0,n/a,145904,182340,0,-,9.03,-,yes,-
strata,2,790,7863,116345,7.58,0,n/a,83984,111148,95712,-,7.62,-,yes,-
yazi,2,278,1958,123719,2.90,0,n/a,108780,123452,0,-,2.90,-,yes,-
mc,2,276,2334,44104,0.92,0,n/a,42408,43844,0,-,0.92,-,yes,-
broot,2,276,464,4701,0.01,0,n/a,1332,4592,0,-,0.01,-,yes,-
nnn,2,272,1928,11025,0.80,0,n/a,10388,10856,0,-,0.80,-,yes,-
lf,2,274,2209,140454,2.24,0,n/a,137352,138272,0,-,2.24,-,yes,-
ranger,2,258,8617,639016,7.07,0,n/a,636400,637036,0,-,7.07,-,yes,-
xplr,2,278,3479,221519,2.35,0,n/a,216716,221156,0,-,2.35,-,yes,-
superfile,2,276,2094,96191,1.11,0,n/a,81732,96084,0,-,1.11,-,yes,-
flea,3,752,1166,107557,0.80,5379,n/a,79136,84752,148216,-,0.96,-,yes,-
nautilus,3,796,79025,341643,18.80,0,n/a,309440,331728,141564,-,18.80,-,yes,-
thunar,3,511,23089,355898,22.75,0,n/a,337620,343756,0,-,22.75,-,yes,-
pcmanfm,3,424,36349,113926,25.12,0,n/a,95388,101228,0,-,25.12,-,yes,-
nemo,3,737,22601,471450,25.69,0,n/a,450948,458824,0,-,25.69,-,yes,-
dolphin,3,681,5261,226798,8.90,0,n/a,145836,195224,0,-,8.90,-,yes,-
strata,3,771,7856,115655,7.58,0,n/a,83380,110452,95712,-,7.62,-,yes,-
yazi,3,294,1981,98631,2.86,0,n/a,83644,98368,0,-,2.86,-,yes,-
mc,3,277,2385,43693,0.92,0,n/a,41676,43284,0,-,0.92,-,yes,-
broot,3,281,460,4687,0.01,0,n/a,1324,4580,0,-,0.01,-,yes,-
nnn,3,277,1960,11056,0.80,0,n/a,10392,10896,0,-,0.80,-,yes,-
lf,3,276,2069,152891,2.14,0,n/a,149760,150692,0,-,2.14,-,yes,-
ranger,3,273,9234,639094,7.35,0,n/a,636436,637136,0,-,7.35,-,yes,-
xplr,3,293,3537,222488,2.36,0,n/a,217760,222124,0,-,2.36,-,yes,-
superfile,3,262,2058,94252,1.12,0,n/a,79624,94136,0,-,1.12,-,yes,-
